source	target
Я вже по вуха в роботі — до Нового року точно не виберусь.	Я уже по уши в работе — до Нового года точно не выберусь.
Та пішов ти!	Да пошёл ты!
Чувак, ти куди подів мої кросівки? Я в шоці.	Чувак, куда ты дел мои кроссовки? Я в шоке.
Він завжди в хмарах, тож нічого не робить вчасно.	Он всегда в облаках, так что ничего не делает вовремя.
Це просто пекло: маршрутка трясе, водій матюкається, а я спізнююся на співбесіду.	Это просто ад: маршрутка трясёт, водитель матерится, а я опаздываю на собеседование.
Закинув бабки на карту через Приват24, а в додатку вискочила помилка — як відкотати платіж?	Перевёл бабки на карту через Приват24, а в приложении выскочила ошибка — как откатить платёж?
Та ну нафіг!	Да ну нафиг!
Куди ти, салага, вчора зник після матчу? Ми тут ґвалт підняли!	Куда ты, салага, вчера пропал после матча? Мы тут такую шумиху подняли!
У мене сьогодні руки не звідти ростуть, все валиться з рук.	У меня сегодня руки не оттуда растут, всё валится из рук.
Завтра їдемо в Одесу на вихідні — буде справжня бомба: море, форшмак і нічні прогулянки Приморським бульваром.	Завтра едем в Одессу на выходные — будет просто бомба: море, форшмак и ночные прогулки по Приморскому бульвару.
Замовив квитки на концерт через сайт billy.net, але при оплаті вилізла помилка 500 і пише 'try later'. Написав їм на support_billy, ще не відповідають — повний капець.	Заказал билеты на концерт через сайт billy.net, но при оплате вылезла ошибка 500 и пишет 'try later'. Написал им на support_billy, пока не отвечают — полный капец.
Та ні, дякую.	Да нет, спасибо.
Я в курсі, але мені похуй.	Я в курсе, но мне похуй.
Не вішай носа, все налагодиться — трохи терпіння.	Не вешай нос, всё наладится — потерпи немного.
Завтра йду на футбол «Динамо» — купив квиток на сектор 7.	Завтра иду на матч «Динамо» — купил билет на сектор 7.
Чуєш, ти з ким ішов учора ввечері? Бачив, як ти базікав з тими чувіками біля «Пузатої хати».	Слышь, ты с кем шел вчера вечером? Видел, как ты трепался с теми чуваками у «Пузатой хаты».
Та ну, це ж капець.	Да ну, это же капец.
Вчора на Ринку зустрів старого друга з університету — пішли на каву, згадували студентські роки і як колись ночували в Карпатах без намету.	Вчера на Рынке встретил старого друга из университета — пошли на кофе, вспоминали студенческие годы и как однажды ночевали в Карпатах без палатки.
Не парся, все буде ништяк, ми це якось провернемо.	Не парься, всё будет ништяк, мы это как-нибудь провернём.
Куди ти подів ті мої ключі, блін? Уже третій раз шукаю!	Куда ты дел мои ключи, блин? Уже третий раз их ищу!
Піду завтра на Андріївський узвіз — хочу знайти вінтажну куртку і послухати вуличних музик.	Пойду завтра на Андреевский спуск — хочу найти винтажную куртку и послушать уличных музыкантов.
Та ну, фігня.	Да ну, фигня.
Ти що, з глузду з'їхав? Ми ж домовлялися!	Ты что, с ума сошёл? Мы же договорились!
Я валюся з ніг від цієї роботи: з третьої ночі сиджу над проектом, а комп ще й зависає!	Я валюсь с ног от этой работы: с трёх ночи сижу над проектом, а комп ещё и зависает!
Замовив на «Розетка» новий телефон, але кур'єр загубив посилку.	Заказал на «Rozetka» новый телефон, но курьер потерял посылку.
Пішов ти на хуй, цей план — повний провал!	Иди ты нахуй, этот план — полный провал!
Та ну, капець!	Да ну, капец!
Ей, ти куди подів мій термос? Я його ставив на підвіконня.	Эй, ты куда дел мой термос? Я его ставил на подоконник.
Він постійно підкидає мені палиці в колеса, вже набридло.	Он всё время ставит мне палки в колёса, уже достало.
Серйозно, це повне лайно — поверніть ці гроші, блін!	Серьёзно, это полное говно — верните эти деньги, блин!
На вихідні їду у Львів — треба забрати бабусину самогонку і заодно зайти на ринок за свіжими варениками.	На выходные еду во Львов — нужно забрать бабушкину самогонку и заодно зайти на рынок за свежими варениками.
Та ні, ти гониш?	Да ну, ты что, прикалываешься?
Моя хата з краю — мені байдуже, що там коїться.	Моя хата с краю — мне всё равно, что там творится.
Ти бачив ту пісню Океан Ельзи, що взірвала інтернет минулого року? Я не можу її перестати слухати!	Ты видел ту песню Океан Эльзы, которая взорвала интернет в прошлом году? Я не могу её перестать слушать!
Це повний пиздець, як вони могли так облажатися зі ставками на футбол?	Это полный пиздец, как они могли так облажаться со ставками на футбол?
Побачимось під Лаврою о 20:00 — і не спізнюйся, бо застукаю.	Встретимся у Лавры в 20:00 — и не опаздывай, а то поймаю.
Та ну, бля.	Да ну, бля.
Куди ти зник учора ввечері? Я тебе на Подолі шукав.	Куда ты исчез вчера вечером? Я тебя на Подоле искал.
Він уже тиждень не в собі — немов не від світу цього.	Он уже неделю не в себе — как будто не от мира сего.
Замовив шаурму біля «Пузатої Хати», а там черга, як у годину пік.	Заказал шаурму возле «Пузатой Хаты», а там очередь как в час пик.
Це повний капець: зарплата — копійки, оренда росте, а бос кожен день підкидає нові завдання. Я вже на межі.	Это полный капец: зарплата — копейки, аренда растёт, а босс каждый день подбрасывает новые задания. Я уже на грани.
Та блін, знову проспав.	Да блин, снова проспал.
Він кинув мене, як гарячу картоплю, і пішов жити своїм життям.	Он бросил меня как горячую картошку и пошёл жить своей жизнью.
Ти бачив новий ролик Олі Полякової? Боже, воно просто порвало мережу!	Ты видел новый ролик Оли Поляковой? Боже, он просто взорвал интернет!
Скільки ще можна тягти цю хрень? Я вже на межі, вони нічого не вирішують.	Сколько ещё можно тянуть эту хрень? Я уже на грани, они ничего не решают.
Чувак, ходімо вночі на ринок Антонівський, там завжди є свіжі пиріжки і крута музика — ти за?	Чувак, пойдём ночью на Антоновский рынок, там всегда есть свежие пирожки и крутая музыка — ты в деле?
Ні фіга собі!	Ни хрена себе!
Ти куди подів мою куртку, блядь?	Куда ты подевал мою куртку, блядь?
Він лізе не в свої сани й тепер вліз у великі проблеми — самим наврочив собі клопіт.	Лезет не в свои сани — вот и вляпался по полной, сам себе нажил кучу проблем.
Купив сало на базарі під «Петром», та ще й підкинув баночку домашнього хрону — будемо до вечора по сто грамів.	Купил сало на рынке у «Петра», да ещё и подкинул баночку домашнего хрена — будем до вечера по сто грамм пить.
Я каже шо все ок, но в мене нема ні копійки.	Я говорю, что всё ок, но у меня ни копейки.
Та ну нафіг!	Да ну нафиг!
Куди ти, бля, подівся вчора ввечері? Я тебе чекав!	Куда ты, бля, пропал вчера вечером? Я тебя ждал!
Він працює як віл: з ранку до ночі, але грошей як не було, так і нема.	Он работает как вол: с утра до ночи, а денег как не было, так и нет.
Я замовив куртку на Rozetka, а потім побачив, що її повернули з браком.	Я заказал куртку на Rozetka, а потом увидел, что её вернули с браком.
Та не парся, все буде ништяк — ми швидко це порішаємо, я тебе не кину.	Да не парься, всё будет ништяк — мы быстро это порешаем, я тебя не брошу.
Та ну, бля	Да ну, бля
Побачимось біля кав'ярні Львівська о 19:00, ок?	Встретимся в кофейне «Львовская» в 19:00, ок?
Він вліз у халепу по повній: позичив гроші й програв весь кеш на ставках.	Он влип по полной: занял денег и проиграл весь кеш на ставках.
А ти чув, шо на вихідних буде концерт Океану Ельзи на Площі Незалежності?	А ты слышал, что на выходных будет концерт «Океана Эльзы» на Майдане Независимости?
Я просто з глузду з'їжджаю — холодильник порожній, грошей нема, а начальниця хоче звіт до завтра. Рятуйте!	Я просто с ума схожу — холодильник пустой, денег нет, а начальница хочет отчёт к завтрашнему дню. Помогите!
Та кинь ту фігню.	Да брось эту фигню.
Він знову з'їв собаку на цих справах, з ним не варто сперечатися.	Он в этих делах собаку съел, с ним не стоит спорить.
Куди ти підiвсь вчора ввечері? Я так хвилювався.	Куда ты пропал вчера вечером? Я так переживал.
Завтра йдемо в кіно на новий фільм Сергія Лозниці — хочеш приєднатися?	Завтра идём в кино на новый фильм Сергея Лозницы — хочешь присоединиться?
Це повний пиздець: замовлення не прийшло, служба підтримки мовчить, а гроші списали.	Это полный пиздец: заказ не пришёл, служба поддержки молчит, а деньги списали.
Та ну, фігня.	Да ну, фигня.
Не вішай мені лапшу на вуха, я тебе знаю.	Не вешай мне лапшу на уши, я тебя знаю.
Куди ти зник учора ввечері? Я вже хвилювався.	Куда ты пропал вчера вечером? Я уже волновался.
Завтра їдемо на дачу до тітки Оленки, візьми, будь ласка, банку огірків і гарний настрій — будемо шашлики смажити до світанку.	Завтра едем на дачу к тётке Оленьке, возьми, пожалуйста, банку огурцов и хорошее настроение — будем жарить шашлыки до рассвета.
Мені взламали акаунт на OLX — user.cool_klyaksa123. Не можу зайти, підкажи, як заблокувати.	Мне взломали аккаунт на OLX — user.cool_klyaksa123. Не могу зайти, подскажи, как заблокировать.
Та ну, блін.	Да ну, блин.
Не клади всі яйця в один кошик, чувак.	Не клади все яйца в одну корзину, чувак.
Куди ти знову подівся, козаче? Дзвонив цілу ніч — не відповідав.	Куда ты опять пропал, казак? Звонил всю ночь — не отвечал.
Це повний пиздець: мене звільнили з роботи, а ще банк почав дзвонити через борг.	Это полный пиздец: меня уволили с работы, и ещё банк начал звонить из-за долга.
Замовив на Rozetka новий телефон, але кур'єр дзвонить кожні п'ять хвилин — хто так працює?!	Заказал на Rozetka новый телефон, но курьер звонит каждые пять минут — кто так работает?!
Та яка різниця, чесно?	Да какая разница, честно?
Він мене кинув на мороз, сказав, що прийде, а сам і не з'явився.	Он меня кинул на мороз: сказал, что придёт, а сам и не появился.
Ти бачив новий фільм «Ніч на Подолі»? Просто бомба, особливо для нас.	Ты видел новый фильм «Ночь на Подоле»? Просто бомба, особенно для нас.
Чорт, я з'їв усю піцу сам, вибачте, хлопці!	Чёрт, я съел всю пиццу сам, простите, ребята!
Хай йому грець!	Пусть идёт к чёрту!
Блін, знову опізнився!	Блин, опять опоздал!
Та ти що, серйозно думаєш, що я кину свою команду заради тих кількох гривень?	Да ты что, серьёзно думаешь, что я брошу свою команду ради этих нескольких гривен?
Пішли в ларьок за семками і пивом, тіпа вечірка буде.	Пойдём в ларёк за семечками и пивом, типа будет вечеринка.
Це повний пиздець, вони нас кинули і всі наші плани накрилися медним тазом.	Это полный пиздец, они нас кинули и все наши планы накрылись медным тазом.
Куди подівся водій маршрутки? Ми стояли на зупинці 20 хвилин і ніяких пояснень.	Куда делся водитель маршрутки? Мы простояли на остановке 20 минут и никаких объяснений.
Та ну його.	Да ну его.
Куди ти подів мій чек? Я його терміново потребую.	Куда ты дел мой чек? Он мне срочно нужен.
Я так задовбався з цим ремонтом, що ледь не з розуму зійшов.	Я так задолбался с этим ремонтом, что чуть не с ума сошёл.
Він наче той козак — і словом не поступиться, і борщу нікому не дасть.	Он как настоящий казак — ни словом не уступит и борща никому не отдаст.
Давай зустрінемось на пошті о 10:00, а після підемо на каву в ту маленьку кав'ярню біля Оперного — там геніальна атмосфера.	Давай встретимся на почте в 10:00, а потом сходим на кофе в ту маленькую кофейню у Оперы — там отличная атмосфера.
Та ну нафіг!	Да ну нафиг!
Ти кажеш, що переживаєш? Та йому як з гусака вода.	Говоришь, переживаешь? Ему как с гуся вода.
Зустрічаємось біля зупинки маршрутки на Петрівці о 19:00, не запізнюйся, ок?	Встречаемся у остановки маршрутки на Петровке в 19:00, не опаздывай, ок?
Та це повний піздець — вони знову зняли з моєї карти всю зарплату.	Да это полный пиздец — они снова сняли с моей карты всю зарплату.
Зареєструвався на Rozetka під ніком user1234, але листа верифікації не прийшло.	Зарегистрировался на Rozetka под ником user1234, но письмо для верификации не пришло.
Та ну, блін!	Да ну, блин!
Він знову кинув мене на пиво — каже, по вуха зайнятий.	Он снова кинул меня на пиво — говорит, по уши занят.
Куди ти подів мій зарядний? Я вже третій раз питаю!	Куда ты дел мой зарядник? Я уже третий раз спрашиваю!
Це вже край — якщо вони знову затягнуть терміни, я піду до керівника і скажу їм все в обличчя.	Это уже край — если они снова затянут сроки, я пойду к начальнику и скажу им всё в лицо.
Чуваки, збираємось на шашлик біля Дніпра в суботу, беріть м'ясо й хороший настрій.	Чуваки, собираемся на шашлык у Днепра в субботу, берите мясо и хорошее настроение.
Знову затори.	Опять пробки.
Чесно, та кав'ярня на Подолі була кльова, але зараз там стільки людей — суцільний хаос.	Честно, та кофейня на Подоле была крутая, но сейчас там столько людей — сплошной хаос.
Не парся, все вирішиться само собою.	Не парься, всё решится само собой.
Де ті квитки на 'Океан Ельзи'? Я точно пам'ятаю, що поклав їх у кишеню.	Где те билеты на 'Океан Ельзи'? Я точно помню, что положил их в карман.
Це повне лайно, я більше так не буду — хай вони йдуть к чорту!	Это полное дерьмо, я больше так не буду — пускай идут к чёрту!
Та ну, давай вже, їдем!	Да ну, давай уже, поехали!
Він кинув мене на півдорозі з цим проєктом — повний відстій.	Он бросил меня на полпути с этим проектом — полный отстой.
Куди, блин, поділася моя шапка? Я ж її лишив на лавці біля Бессарабки.	Куда, блин, делась моя шапка? Я же оставил её на скамейке у Бессарабки.
Не можу більше терпіти цих вечірніх маршруток, вони завжди напхані, кондукторі якось нахамлять, а водій їде як скажений — це пекло.	Не могу больше терпеть эти вечерние маршрутки: они всегда набитые, кондукторы как-то хамят, а водитель несётся как сумасшедший — это ад.
Замовив квитки на концерт Океану Ельзи через ticketUA, чек: id#123abC — сподіваюсь, не кинули.	Заказал билеты на концерт Океана Эльзы через ticketUA, чек: id#123abC — надеюсь, меня не развели.
Та ну, нафіг це.	Да ну, к чёрту это.
Він мені обіцяв золоті гори, а сам навіть крихітки не привіз.	Он мне обещал золотые горы, а сам даже крошки не привёз.
Куди ти подівся вчора ввечері? Ми чекали біля «Пузатої хати» до півночі.	Куда ты делся вчера вечером? Мы ждали у «Пузатой хаты» до полуночи.
Це повний пиздець — сайт падає щогодини, а техпідтримка мовчить.	Это полнейший пиздец — сайт падает каждый час, а техподдержка молчит.
Тримайся, братан, все налагодиться — не парся так.	Держись, братан, всё наладится — не парься так.
Блін, серйозно?	Блин, серьёзно?
Не треба бігти попереду паровоза — спочатку домовимось, потім робитимемо.	Не нужно бежать впереди паровоза — сначала договоримся, потом будем делать.
Ти бачив того чувака біля Площі Ринок о 8-й?	Ты видел того чувака у Площади Рынок в 8?
Це повне лайно, я більше не можу так жити — дайте мені нормальну роботу!	Это полное дерьмо, я больше не могу так жить — дайте мне нормальную работу!
Замовив телефон на Rozetka через акаунт nik_77 — прийшов трек-номер UA12345.	Заказал телефон на Rozetka через аккаунт nik_77 — пришёл трек-номер UA12345.
Та ну, блін!	Да ну, блин!
Куди ти, сцуко, зник учора ввечері?	Куда ты, сука, вчера вечером пропал?
Він працює як віл, але йому платять копійки.	Он пашет как вол, а ему платят копейки.
Я забронював квитки на поїзд до Одеси на День Незалежності — всі готелі вже зайняті. Порадь, де недорого потусити.	Я забронировал билеты на поезд в Одессу на День Независимости — все отели уже заняты. Посоветуй, где недорого потусить.
Зустрічаємось біля входу в метро 'Льва Толстого' о 17:30, не опаздуй.	Встречаемся у входа в метро «Льва Толстого» в 17:30, не опаздывай.
Бізнес пішов вгору, тепер усе йде як по маслу.	Бизнес пошёл вверх, теперь всё идёт как по маслу.
Завтра підемо в кавярню на Подолі?	Завтра пойдём в кофейню на Подоле?
Куди, бля, ділися мої документи?!	Куда, блядь, подевались мои документы?!
Як ти міг так просто зрадити після всього, що ми пережили? Я в шоці.	Как ты мог так просто предать после всего, что мы пережили? Я в шоке.
На Привозі продавець хотів мене надурити, але я його грамотно послав.	На Привозе продавец хотел меня надуть, но я его грамотно послал.
Та ну, воно мені по фігу.	Да ну, мне пофиг.
Як би ти вчинив, якби твій друг зрадив довіру?	Как бы ты поступил, если бы твой друг предал доверие?
На концерті було море народу, але звук — як із бочки.	На концерте было море людей, но звук — как из бочки.
Я в повній жопі: провалив дедлайн, і шеф зараз просто в люті.	Я в полной жопе: провалил дедлайн, и босс сейчас просто в ярости.
Замовив піцу у 'Сільпо' через додаток, кур'єр ще не подзвонив, блядь.	Заказал пиццу в 'Сильпо' через приложение, курьер ещё не позвонил, блядь.
Та ну нафіг.	Да ну нафиг.
Куди ти знову зник, чувак?	Куда ты опять пропал, чувак?
Я вже в п'ятий раз слухаю ту пісню — як заїло, не можу відірватися.	Я уже в пятый раз слушаю эту песню — как заело, не могу оторваться.
Це повний піпець, їхній сервіс — жах!	Это полный пиздец, их сервис — ужас!
Відключили світло посеред матчу Євро — ну це капець, стояв як вкопаний, не знав, що робити.	Отключили свет посреди матча Евро — ну это капец, стоял как вкопанный, не знал, что делать.
Пофіг мені.	Мне пофиг.
Та ну його, фігня якась.	Да ну его, какая-то хрень.
Куди поділася моя торба? Я її тут лишив!	Куда делась моя сумка? Я её здесь оставил!
В мене так боліло, а потім — як рукою зняло.	У меня так болело, а потом — как рукой сняло.
Завтра йдемо до батьків на дачу: брат візьме мангал, тітка — салати, а сусід привезе свій самогон.	Завтра едем к родителям на дачу: брат возьмёт мангал, тётя — салаты, а сосед привезёт свой самогон.
Та ну, не вірю!	Да ну, не верю!
Куди ти, бляха, подівся вчора після вечірки?	Куда ты, блин, пропал вчера после вечеринки?
Це повний пиздець: наша команда прогоріла, і тепер я не знаю, що робити.	Это полный пиздец: наша команда прогорела, и теперь я не знаю, что делать.
Збираємось біля театру йдемо на концерт Океана Ельзи — не спізнюйся!	Собираемся у театра, идём на концерт Океана Эльзы — не опаздывай!
Гроші на ремонт розтанули як морозиво на сонці — лишилися тільки борги.	Деньги на ремонт растаяли как мороженое на солнце — остались только долги.
Та ну, серйозно?	Да ну, серьёзно?
Він і пальцем не ворухнеться, поки не побачить вигоди.	Он и пальцем не пошевелит, пока не увидит выгоды.
Погоди, ти справді йдеш у маршрутку о 6 ранку?	Погоди, ты правда идёшь в маршрутку в шесть утра?
Та вже заїбав цей совок, хочеться просто втекти кудись подалі.	Да этот совок меня уже задрал, хочется просто свалить куда подальше.
Якщо ти завтра не підготуєшся до презентації, начальник влаштує тобі рознос на весь відділ і ще й при клієнтах.	Если ты завтра не подготовишься к презентации, начальник устроит тебе разнос перед всем отделом и ещё при клиентах.
Та ну його.	Да ну его.
Ти куди пропав, козаче? Ми на Майдані тебе шукали годину.	Куда ты пропал, казак? Мы на Майдане тебя искали час.
Наша команда злила матч у доданий час — повний облом.	Наша команда слила матч в добавленное время — полный облом.
Я вже збираю чемодани: ця квартира — суцільний треш: комуналка космічна, сусіди як у фільмі жахів, а ліфт постійно не працює.	Я уже собираю чемоданы: эта квартира — сплошной трэш: коммуналка заоблачная, соседи как из фильма ужасов, а лифт постоянно не работает.
Влаштовую вечірку на хату в п’ятницю — беріть пельмені й самогон, буде по-справжньому.	Устраиваю вечеринку на хате в пятницу — берите пельмени и самогон, будет по‑настоящему.
Та ну, зашквар повний!	Да ну, полный позор!
Куди, бля, подів мою шапку з Бессарабки?	Куда, блин, дел мою шапку с Бессарабки?
Він казав, що допоможе, а сам, як завжди, кинув нас на півдорозі.	Он говорил, что поможет, а сам, как всегда, бросил нас на полпути.
Я так заїбався від цього ремонту, нерви на нитці — вже квартиру продам і втечу до бабусі.	Я так задолбался от этого ремонта, нервы на пределе — уже квартиру продам и свалю к бабушке.
Зустрічаємось біля виходу з метро Лук'янівська о 20:00, бронювання на ім'я olga_555.	Встречаемся у выхода из метро Лукьяновская в 20:00, бронь на имя olga_555.
Блін, знову пробки.	Блин, опять пробки.
Він махнув рукою й забив на ту справу — типу все ок, але насправді так не буває.	Он махнул рукой и забил на это дело — типа всё ок, но на самом деле так не бывает.
Куди ти лізеш, козаче? Це не твоє діло.	Куда ты лезешь, казак? Это не твоё дело.
Та я вже на грані, бля, цей проєкт мене доконає.	Да я уже на грани, бля, этот проект меня добьёт.
Замовив квитки через аккаунт ivan_1234 на Укрзалізниця, але досі не прийшов лист з підтвердженням.	Заказал билеты через аккаунт ivan_1234 на Укрзалізницю, но до сих пор не пришло письмо с подтверждением.
Та ну, фігня.	Да ну, фигня.
Чувак, де ти зник вчора ввечері після концерту?	Чувак, куда ты пропал вчера вечером после концерта?
Мені байдуже, що вони там кажуть — я піду своїм шляхом.	Мне всё равно, что они там говорят — я пойду своей дорогой.
Це повне гівно, я більше не збираюсь це терпіти!	Это полное говно, я больше не собираюсь это терпеть!
Замовив рюкзак на Rozetka через акаунт ivan_88, але посилку ще не відправили.	Заказал рюкзак на Rozetka через аккаунт ivan_88, но посылку ещё не отправили.
Та ти шо?	Да ты что?
Та це повний пиздець, я більше так не витримаю!	Да это полный пиздец, я больше так не выдержу!
У мене грошей кіт наплакав, доведеться економити.	У меня денег как кот наплакал, придётся экономить.
Завтра йду на футбол на 'Олімпійський' о 19:00 — приєднуєшся?	Завтра иду на футбол на 'Олимпийский' в 19:00 — присоединишься?
Замовив товар на Rozetka через акаунт user_123, трек-номер: AB12345678.	Заказал товар на Rozetka через аккаунт user_123, трек-номер: AB12345678.
Та ну, фігня.	Да ну, хрень.
Він наче з іншої опери — робить, як заманеться.	Он как будто из другой оперы — делает что хочет, как ему вздумается.
Куди, блін, подівся мій телефон? Я в паніці.	Куда, блин, пропал мой телефон? Я в панике.
Я вже задовбався цим ремонтом — щодня якась нова біда, гроші йдуть на вітер.	Я уже задолбался этим ремонтом — каждый день какая-то новая проблема, деньги выбрасываются на ветер.
Зустрінемось в Одесі біля Потьомкінських сходів о 19:00, не спізнюй.	Встретимся в Одессе у Потёмкинских лестниц в 19:00, не опаздывай.
Відвали, чувак!	Отвали, чувак!
Це повний провал — не можу розрулити цю справу, вона мене вже дістала.	Это полный провал — никак не могу разрулить это дело, оно меня уже достало.
Куди, блять, ти подів ключі? Я їх ніяк не знайду.	Куда, блять, ты дел ключи? Я их никак не могу найти.
Завтра їдемо на матч «Карпати» — бери шарф і приходь, буде шалена атмосфера.	Завтра едем на матч «Карпаты» — бери шарф и приходи, будет сумасшедшая атмосфера.
Після підвищення він став жити на широку ногу і купив нову Таврію.	После повышения он стал жить на широкую ногу и купил новую «Таврию».
Та пішов ти!	Да пошёл ты!
Куди ти пропав, братан? Вчора мав бути на концерті, а ти навіть не подзвонив.	Куда ты пропал, братан? Вчера ты должен был быть на концерте, а ты даже не позвонил.
Не моя хата — не моя війна, але якось моторошно, коли таке відбувається поряд.	Не моя хата — не моя война, но как-то жутко, когда такое происходит рядом.
